id_proyecto_desarrollo,resultado,macro_distrito,distrito_municipal,cantidad_pisos,superficie_legal,superficie_construida,latitude,longitude,gral__patron_de_asentamiento,gral__zona_referencial,par__ale_sub_area_de_lote_edificable,par__altillo,par__amc_sub_area_maxima_a_cubrir_sub_sotano,par__ame_sub_area_maxima_a_edificar_sub_zocalo,par__amf_sub_altura_maxima_de_fachada_sub_sotano,par__amv_sub_area_minima_verde,par__fml_sub_frente_minimo_de_lote,par__fondo,par__lateral_1,par__lateral_2,par__mezzanine,par__nmp_sub_numero_minimo_de_parqueos,par__rme_sub_retiro_minimo_de_edificacion_torre_sub_frontal,par__rme_zocalo_sub_retiro_minimo_de_edificacion_zocalo_sub_frontal,par__semisotano,par__torre,par__voladizo_sub_voladizo_sobre_retiro_frontal,par__zocalo,es_agil,es_ampliacion
8,APROBADO,VI - MALLASA,20,2,500.0,199.76,-16.569908,-68.0891,4P - d20,MALLASA,500.0,0,0.0,0.0,0,140.52,14.15,0.0,0.0,0.0,0.0,1,16.25,0.0,0,2,0.0,0,False,True
8,OBSERVADO,IV - SAN ANTONIO,14,5,200.0,0.0,-16.488681,-68.109638,DESCONOCIDO,DESCONOCIDO,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,False,True
8,OBSERVADO,II - MAXIMILIANO PAREDES,10,2,201.08,0.0,-16.441255,-68.152893,DESCONOCIDO,DESCONOCIDO,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,False,True
9,APROBADO,VII - CENTRO,2,7,241.6,1624.76,-16.488679,-68.124911,3C - d2,MIRAFLORES,241.6,0,0.0,0.0,0,24.21,12.54,0.0,0.0,0.0,0.0,0,1.0,0.0,1,7,0.0,0,False,True
9,OBSERVADO,IV - SAN ANTONIO,14,4,180.0,0.0,-16.487765,-68.109874,DESCONOCIDO,DESCONOCIDO,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,False,True
8,OBSERVADO,V - SUR,18,2,300.0,0.0,-16.51834,-68.082012,DESCONOCIDO,DESCONOCIDO,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,False,True
8,APROBADO,V - SUR,18,3,300.0,295.87,-16.534288,-68.080958,4P - d18,KOANI,300.0,0,0.0,0.0,0,90.0,15.14,0.0,0.0,0.0,0.0,2,3.03,0.0,0,3,0.0,0,False,True
8,APROBADO,III - PERIFERICA,11,3,166.04,398.65,-16.480594,-68.142207,2 - d11,VINO TINTO,166.04,0,0.0,0.0,0,72.66,24.74,0.0,0.0,0.0,0.0,0,0.0,0.0,1,3,0.5,0,False,False
8,OBSERVADO,IV - SAN ANTONIO,16,4,199.5,0.0,-16.498236,-68.104205,DESCONOCIDO,DESCONOCIDO,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,False,True
8,APROBADO,IV - SAN ANTONIO,16,5,215.0,662.76,-16.489619,-68.099359,3 - d16,VILLA SALOME,215.0,0,0.0,0.0,0,66.19,10.05,0.0,0.0,0.0,0.0,0,0.0,0.0,0,5,1.0,0,False,True
